Error	Name
0.59165	UCCSD
1.3888	UCCSD
0.65775	UCCSD
-0.43523	UCCSD
1.98467	UCCSD
1.63168	UCCSD
2.04292	UCCSD
1.58863	UCCSD
0.16412	UCCSD
0.63068	UCCSD
0.21587	UCCSD
0.60016	UCCSD
0.78051	UCCSD
-0.33597	UCCSD
0.58042	UCCSD
0.56997	UCCSD
0.57669	UCCSD
0.3357	UCCSD
0.11552	UCCSD
1.74856	UCCSD
2.29918	UCCSD
1.82081	UCCSD
1.46935	UCCSD
0.92262	UCCSD
0.26797	UCCSD
2.00685	UCCSD
2.40978	UCCSD
1.03467	UCCSD
0.32133	UCCSD
-0.06716	UCCSD
0.78272	UCCSD
0.55388	UCCSD
1.05305	UCCSD
0.58753	UCCSD
-0.25796	UCCSD
0.80436	UCCSD
0.9767	UCCSD
1.61449	UCCSD
0.78593	UCCSD
1.84328	UCCSD
1.37033	UCCSD
0.17954	UCCSD
0.96315	UCCSD
1.64567	UCCSD
1.34102	UCCSD
0.75901	UCCSD
1.75871	UCCSD
1.46534	UCCSD
1.35449	UCCSD
2.07481	UCCSD
0.01768	UCCSD
0.66374	UCCSD
0.92149	UCCSD
0.62978	UCCSD
0.7224	UCCSD
0.25898	UCCSD
0.47154	UCCSD
0.27545	UCCSD
0.3871	UCCSD
1.02105	UCCSD
0.67124	UCCSD
1.22566	UCCSD
0.51412	UCCSD
0.99154	UCCSD
2.23412	UCCSD
1.57326	UCCSD
0.77423	UCCSD
0.83274	UCCSD
0.90581	UCCSD
1.17385	UCCSD
0.75521	UCCSD
2.216	UCCSD
1.87496	UCCSD
1.26641	UCCSD
0.84518	UCCSD
-0.07113	UCCSD
0.10877	UCCSD
0.82163	UCCSD
0.32603	UCCSD
0.23742	UCCSD
0.92237	UCCSD
0.05188	UCCSD
0.92987	UCCSD
1.18557	UCCSD
-0.07688	UCCSD
0.57629	UCCSD
0.30766	UCCSD
-0.5671	UCCSD
1.86643	UCCSD
1.31872	UCCSD
2.58775	UCCSD
1.29558	UCCSD
1.36126	UCCSD
0.76063	UCCSD
1.07471	UCCSD
-1.17613	UCCSD
0.26385	UCCSD
1.36685	UCCSD
0.80452	UCCSD
-0.08704	UCCSD
0.51428	UCCSD
0.46794	UCCSD
0.38714	UCCSD
0.1831	1-UpCCGSD
0.06104	1-UpCCGSD
0.36622	1-UpCCGSD
0.30518	1-UpCCGSD
0.24414	1-UpCCGSD
0.91553	1-UpCCGSD
0.36621	1-UpCCGSD
-0.24414	1-UpCCGSD
0.79346	1-UpCCGSD
0.54932	1-UpCCGSD
2.68554	1-UpCCGSD
1.28174	1-UpCCGSD
1.64795	1-UpCCGSD
0.48828	1-UpCCGSD
-0.91553	1-UpCCGSD
1.34277	1-UpCCGSD
0.54932	1-UpCCGSD
0.30517	1-UpCCGSD
0	1-UpCCGSD
-0.12207	1-UpCCGSD
0.30518	1-UpCCGSD
0.12207	1-UpCCGSD
0.06104	1-UpCCGSD
0.24414	1-UpCCGSD
0.12207	1-UpCCGSD
0.12208	1-UpCCGSD
-0.06103	1-UpCCGSD
0.24414	1-UpCCGSD
0.73242	1-UpCCGSD
-0.06104	1-UpCCGSD
0.91553	1-UpCCGSD
0.67139	1-UpCCGSD
-0.36621	1-UpCCGSD
1.64795	1-UpCCGSD
1.52588	1-UpCCGSD
0.73242	1-UpCCGSD
0.06103	1-UpCCGSD
1.0376	1-UpCCGSD
0.67139	1-UpCCGSD
0.73242	1-UpCCGSD
0.36621	1-UpCCGSD
0.06103	1-UpCCGSD
0.30518	1-UpCCGSD
0.18311	1-UpCCGSD
0.12207	1-UpCCGSD
0.06104	1-UpCCGSD
-0.06104	1-UpCCGSD
